objectid,parentid,title,creator,date,estimatedate,description,object_transcript,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text
kletter_2f,kletter_2a,"Letter, Kathleen to Peter","O'Reilly, Kathleen",1897-03-27,,,"wd be enthusiastic about them + I persisted in buying a little piece of sculpture, wh. I know have to carry everywhere in my hand much to Uncle Joe's disgust! I hope it will look pretty at P Ellice. The railway journey from Nice is perfectly lovely along the shores of the Medeterranean, but made tantalising bu hundreds of tunnells. Most disagreeable a tunnell for every [fromentory] cannot tell you anything about Rome as it is late + this must be posted tonight. We arrived here at midnight on Tuesday having left Pisa at 5 pm. Everything here is intensely interesting. I am afraid Uncle Joe is going to hurry back to London by 8th April. I wish he would stay ten days longer. I have had so many notes to answer since I came here. Lady Mac. wants us to stay with her + Etty Pain. I enclose Mrs Garratts it may interest you. I wrote to Mrs Baker's daughter + her husband. Mr [] called on Uncle Joe, this morning.","Genoa, Italy; Pisa, Italy; Rome, Italy; Nice, Italy",,,,BC Archives,"MS-2894, Box 45, File 10",,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_2f.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_2f_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_2f_th.jpg,
kletter_2e,kletter_2a,"Letter, Kathleen to Peter","O'Reilly, Kathleen",1897-03-27,,,"all day. In the morning to see a most beautiful church and splendid palace. The latter full of pictures + other lovely + []aluable things. Most interesting Genoa is full of these magnificent marble palaces most of them built by members of the nobility but now viewed by the nation as [] []. The one we went to is occupied by a prince + his family. Everything in this country is marble + very beautiful it is. After lunch we drove with a guide to the Camp Santo, a most [] cemetary. Soemthing like Cloisters filled with marble monumnets in [] of the dead, but nearly all representing living persons grieving for them. For instance if a man had died, the monument erected to his memory wil be a group (life like) in marble","Genoa, Italy",,,,BC Archives,"MS-2894, Box 45, File 10",,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_2e.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_2e_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_2e_th.jpg,
kletter_2g,kletter_2a,"Letter, Kathleen to Peter","O'Reilly, Kathleen",1897-03-27,,,of his wife + family There were some extrodinary things pointed out by the guide. We drove to differnet parts of Genoa + had lovely views + went to a most lovely + romantic old garden terrace to the top of a hill. Lovely flowers fountains arrange trees + tropical vegetation all arranged in perfect taste quite a place to dream about. The Meditterarnean is most exquistely blue under an Italian sky. On Monday we went to a shop + saw how they do the filigree work. I bought a little thing or two + Uncle Jow gave Josephine two lovely pieces. It is wonderful how he spoils her. She can buy anything she wants + 'is not to say any thanks'. He says he does not wish it under the relationship  they haver together and is not to ask him if she can have anything brought to her in the hotel but [] it for herself. I am afraid it will be very hard for her if she ,"Genoa, Italy","Genoa, Italy",,,BC Archives,"MS-2894, Box 45, File 10",,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_2g.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_2g_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_2g_th.jpg,
kletter_2h,kletter_2a,"Letter, Kathleen to Peter","O'Reilly, Kathleen",1897-03-27,,,loses him + can not have the means to live as she does now. We left Genoa by 12 train + arrived a few hours after at Pisa which is most interesting. We drove about before dinner + had a look at the Catyhedral + town etc.  but did not do it thoroughly until the next day. [] the first thing we did was to ascend the learning tower. I felt giddy at such a height + Josephine made me very newveous especially as she is very [] + had a violent discussion with Uncle Joe on the top because he wd hold on to the tail of her jacket. We have some very funny scenes. Theya re so ofrten like two children or like he + poor aunt Julia used to behave. I think he must enjoy it! On the way to Pisa one passes the Carara Marble quaries + everywhere one sees the most beautiful things made in marble. I know dear Mother,"Genoa, Italy; Pisa, Italy",,,,BC Archives,"MS-2894, Box 45, File 10",,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_2h.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_2h_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_2h_th.jpg,
chestletter_1,,Letter to Kathleen,,1897-03-28,,,c/o Thomas Cook & Son,,"Rome, Italy",,,BC Archives,"MS-2894, Box 25, File 16",,,,,,Multiple,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/chestletter_1.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/chestletter_1_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/chestletter_1_th.jpg,
chestletter_2,chestletter_1,,,,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/chestletter_2.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/chestletter_2_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/chestletter_2_th.jpg,
chestletter_3,chestletter_1,,,,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/chestletter_3.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/chestletter_3_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/chestletter_3_th.jpg,
chestletter_4,chestletter_1,,,,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/chestletter_4.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/chestletter_4_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/chestletter_4_th.jpg,
kletter_3a,,"Letter, Kathleen to Parents","O'Reilly, Kathleen",1897-04-07,,,"Hotel Bristol
A. Castellani, Pre
Florence, 7th April 1897

My dear Father + Mother,
I seem to have been sensding you very disjointed epistles from time to time on our journeyings. I am distressed to hear of the cold weather + snow you have had at home in March, so late in the Spring for it to come + I hope + pray you are all leeping well + have [] any ill effects from the cold. it seems unfortunate that I have not been in London to arrange about Uncle John taking out things for you but perhaps there may still be time. uncle Joe wants to be in London by the evening of 20th and I think had not decided where he is going to take [] [] [] are at Baileys. It seems a pitty that dear","Pisa, italy","Florence, Italy",,,BC Archives,"MS-2894, Box 45, File 10",,,,,,Compound_object,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_3a.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_3a_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_3a_th.jpg,
kletter_3b,kletter_3a,Page 4,"O'Reilly, Kathleen",1899-12-30,,,"on his way back to the [] the Royal Palace. We were none the worse for the outing + it was a great thing to have seen. On Tuesday we left Rome at 9:30 + arrived here 2:30. Had lunch in a dining car. It is a lovely trtip by raile + we are perfectly enchanted with Florence. This hotel like the one we were in at Pisa is on the [LungGreed] that is on the backs or beside the [Arres] I cannot describe the picturesqueness of it under the blue sky with its quant old buildings + the bridges. The colours of which would sound bright if one [] there buyt which in reality are mellowed to perfection. (Directly we arrived we went for a drive to get a general view of the place + wherever we go our first outing is to Cook's office to [] for letters! I got one from Jack, one from Carry asking me to stay with them on my way back to London and",,,,,BC Archives,"MS-2894, Box 45, File 10",,,,,,Image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_3b.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_3b_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_3b_th.jpg,
